ID	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium longum	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides dorei	Bacteroides eggerthii	Bacteroides faecis	Bacteroides finegoldii	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides massiliensis	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides xylanisolvens	Bacteroidales bacterium ph8	Barnesiella intestinihominis	Coprobacter fastidiosus	Odoribacter splanchnicus	Parabacteroides distasonis	Parabacteroides goldsteinii	Parabacteroides merdae	Parabacteroides unclassified	Paraprevotella clara	Paraprevotella unclassified	Prevotella copri	Alistipes finegoldii	Alistipes onderdonkii	Alistipes putredinis	Alistipes shahii	Alistipes unclassified	Streptococcus salivarius	Clostridium bolteae	Clostridium citroniae	Clostridium clostridioforme	Clostridium hathewayi	Clostridium leptum	Clostridium nexile	Clostridium symbiosum	Flavonifractor plautii	Eubacterium eligens	Eubacterium hallii	Eubacterium rectale	Eubacterium siraeum	Eubacterium sp 3 1 31	Eubacterium ventriosum	Ruminococcus gnavus	Ruminococcus obeum	Ruminococcus torques	Coprococcus comes	Dorea longicatena	Lachnospiraceae bacterium 1 1 57FAA	Lachnospiraceae bacterium 3 1 46FAA	Roseburia hominis	Roseburia intestinalis	Roseburia inulinivorans	Roseburia unclassified	Oscillibacter unclassified	Peptostreptococcaceae noname unclassified	Faecalibacterium prausnitzii	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus lactaris	Subdoligranulum unclassified	Coprobacillus unclassified	Acidaminococcus unclassified	Dialister invisus	Veillonella atypica	Veillonella dispar	Veillonella parvula	Veillonella unclassified	Burkholderiales bacterium 1 1 47	Parasutterella excrementihominis	Sutterella wadsworthensis	Bilophila unclassified	Escherichia coli	Escherichia unclassified	Klebsiella pneumoniae	Haemophilus parainfluenzae	Akkermansia muciniphila	C2likevirus unclassified
CSM67UH7	0	0	0	0	0	13611	1813	7	0	0	0	9748	0	29542	3063	0	0	16746	14	44020	54	0	0	0	0	31	0	0	2814	0	0	0	0	3140	990	0	1973	6	6459	0	0	0	135	0	0	0	1523	215	6166	235	0	0	0	328	3731	963	292	0	2554	165	92	2415	0	2	110	11232	0	0	0	63453	0	0	0	0	0	2	76	9010	3904	0	747	119	62	273	1222	360894	311
CSM79HHW	962	0	0	0	0	53986	0	49950	0	0	0	14853	0	7	51262	0	0	0	34	16	975	0	0	0	0	0	0	0	150	0	0	0	0	0	50637	0	0	0	14433	0	241	218	74	4951	0	1256	0	0	15167	0	0	0	72776	0	5525	0	0	267	0	0	0	0	243	539	43	4631	0	0	0	24311	5124	0	0	872	0	267	0	0	1799	0	1605	61	246	0	0	0	0
HSM67VDT	0	0	1027	0	333	23324	0	1431	0	13922	2	82	0	38	20184	0	315233	9618	53042	57428	0	0	0	0	4686	4	2322	36022	0	0	0	0	2594	12579	78454	3720	0	200	33	0	0	0	991	0	0	75	59	14	11969	2724	0	1473	452	718	1149	0	425	0	13	200	12	85	143	3579	0	11449	0	0	1456	10956	0	0	3593	0	0	154	84	55	826	0	0	928	153	0	435	14301	0
HSM6XRQB	0	0	0	0	0	33308	0	0	0	0	0	0	0	20383	139689	0	0	0	30557	12972	1964	0	0	0	0	27	0	0	92	0	0	0	0	0	0	0	0	0	22294	173	748	22621	0	0	19109	668	0	7383	177	0	0	0	84156	555	16583	79	952	0	1773	1995	0	25303	0	1730	0	560	0	0	0	40491	30	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0
HSM6XRR3	0	0	0	0	0	3	0	0	0	17	0	149554	0	14	39443	0	157116	43379	13281	23	35741	0	0	0	0	0	0	0	75185	0	0	0	7117	2505	72	0	13271	0	9423	0	152	0	0	0	1461	0	0	19	2841	3	0	0	0	97	2202	178	231	0	497	1239	51	1949	0	1268	0	20081	0	0	0	18841	0	0	3804	0	0	0	141	1223	2211	0	0	362	0	0	0	10608	0
HSMA33NW	1310	0	833	0	6	0	0	63	0	0	0	0	0	61998	16948	1981	101634	10297	6113	3545	520	1150	0	0	8203	0	0	35325	12260	0	0	0	9334	1356	41725	3090	0	0	5506	0	181	0	0	0	0	0	0	384	7041	0	0	0	0	2172	12090	322	537	0	431	0	0	0	509	6032	1042	14685	0	0	0	7579	0	0	17313	0	0	6	4	137	50	17365	3293	17841	0	0	0	0	0
HSMA33NY	3562	0	31	0	0	0	0	291	0	0	0	0	0	0	7572	1024	48034	5758	5839	33491	2591	1434	4908	0	2287	97	0	19482	0	3284	7992	78235	0	2773	26364	2312	0	0	81	59	0	0	1502	0	0	1434	0	756	23071	0	0	5611	879	349	4073	482	4517	0	994	3	4001	1496	0	4094	316	90498	0	341	4765	9683	0	0	0	0	0	0	0	85	13	17784	1791	29193	0	0	0	0	317
MSM5LLDI	532	100	1379	0	101	7702	25480	0	0	3874	0	20971	0	0	9221	0	109138	0	0	0	2332	1273	0	0	0	28268	0	4677	0	0	0	0	0	3674	37401	0	0	0	50	50	0	44	0	0	134	619	72	96	1561	0	0	0	333	3	469	0	0	0	0	0	0	0	0	0	0	3675	0	0	0	897	0	0	1431	0	0	0	0	0	0	0	912	750	54	0	0	0	0
MSM6J2PO	9426	903	1501	0	1007	2747	0	0	47666	0	185	0	0	0	212	0	11058	1172	39571	38005	254	0	178	0	0	105	0	18211	0	0	0	0	0	6	3216	106	0	3008	0	0	0	0	0	0	0	0	2393	1446	4883	108	0	1753	0	531	5577	2185	3197	0	0	761	2669	8840	0	0	652	77109	0	183	0	76656	0	0	0	256	302	2199	8504	0	17	0	34	0	0	0	8714	0	0
MSM6J2Q1	98	0	1151	0	279	5738	0	535	1066	247	17522	0	0	1082	7854	0	57435	1370	148060	9314	1372	11641	12888	160	4759	459	613	2772	2919	24784	48466	0	1007	2506	34745	12256	0	320	0	0	0	0	0	0	0	0	15147	18	9978	3934	0	151	0	242	2266	256	45	0	276	10596	1126	0	0	466	0	101431	837	2209	1824	31607	0	0	693	926	488	1029	2022	49	115	7369	62	0	54	0	2634	1128	0
