"","CSM5FZ3N_P","CSM5FZ3T_P","CSM5FZ4A_P","CSM5FZ4E_P","CSM5MCTZ_P","CSM5MCU4_P","CSM5MCUQ_P","CSM5MCV1_P","CSM5MCWK_P","CSM5MCXB_P","CSM5MCXF_P","CSM5MCYU_P","CSM67U9T_P","CSM67U9V_P","CSM67U9X_P","CSM67UAI_P","CSM67UCU_P","CSM67UH7","CSM6J2H9_P","CSM79HG7_P","CSM79HH2_P","CSM79HHW_P","CSM79HJI_P","CSM79HKX","CSM79HNE","CSM79HNY_P","CSM79HQR_P","CSM7KOP6","CSM7KOQ5_P","CSM7KOUJ_P","ESM5GEYU_P","ESM5GEYX_P","ESM5MEA7_P","ESM5MEB7","ESM5MEC7_P","ESM718U9_P","ESM7F5AE_P","HSM5MD3L_P","HSM5MD4U_P","HSM5MD5X_P","HSM5MD5Z_P","HSM5MD6E_P","HSM5MD82_P","HSM5MD8F_P","HSM5MD8J_P","HSM67VCX_P","HSM67VDR_P","HSM67VDT","HSM67VDX_P","HSM67VID","HSM6XRQE_P","HSM7CYWS_P","HSM7CZ1T_P","HSM7CZ2V_P","HSM7CZ2X_P","HSM7J4J7","HSM7J4JH","HSM7J4JT_P","HSM7J4JV_P","HSMA33IE","HSMA33J1_P","MSM5LLFG_P","MSM5LLFK_P","MSM5LLH2_P","MSM5LLHV_P","MSM6J2JF_P","MSM6J2JH_P","MSM6J2LW","MSM6J2N6_P","MSM6J2PO","MSM6J2RG_P","MSM79H52_P","MSM79H5E","MSM79H7C","MSM79H8D","MSM79H94_P","MSM79HBZ","MSM9VZFJ_P","MSM9VZJF_P","MSM9VZL5","MSM9VZLX_P","MSMA267V","PSM6XBQM_P","PSM6XBRK","PSM6XBRM_P","PSM6XBSE","PSM6XBSG_P","PSM6XBTR","PSM6XBVY_P","PSM6XBW1_P","PSM6XBW3","PSM7J4EF","PSMA264O","PSMA265X"
"s__Phocaeicola_vulgatus|t__SGB1814",35.0193314113738,44.0961453027659,25.3383423103559,0.201636588435782,17.9886442319675,0.0132886324427335,0,0.0264352908961874,23.3937068604934,4.59247719664723,24.2914746963806,0.672921567532766,0.692184131791824,14.0339948361546,46.9718537605375,0,9.76113659505139,8.12449313584894,14.7199356877656,18.3456166073534,4.91625379255316,38.6221330767081,6.28006300999957,22.7294377111245,0,25.7575934121471,7.16665163150545,4.71936343690552,49.4032501690877,30.1162726455229,28.1200495226274,2.19550585887936,4.50713627621372,0.577141464657134,33.3659593908123,3.56574774119509,6.55246851594421,9.64944479173767,0.0226728938821972,18.5962080664971,15.7391199906475,0.0135483928453628,7.77779802515384,18.7445750850416,3.53721813165381,0,23.1609283680496,16.8523301391425,0.0239485995653256,3.31591889203162,0.0711080797780092,25.5668063452461,39.6874403166421,27.162825613762,39.9476124315211,50.207292301437,0,7.59681047799578,4.65957836779343,11.9255813302282,20.564852597241,8.71234515530352,8.26409812397868,0.225265880060432,2.17001161044918,14.8150885860331,0.823280705223792,3.34771053993759,1.19908655165546,12.2894526023673,0.624255477067209,1.17391825699088,6.3259809363144,26.1466966235555,0.0198536244071796,22.538264949325,0,26.2077722241759,1.87945071938088,11.4137332296456,24.6449981967196,3.27228249227357,16.7311522565866,26.5144426616136,17.3843923363645,24.1850448878213,6.92669426051911,24.4818289549899,12.3849952646421,5.13537662379796,0,0.0287660635187264,6.0693504013369,35.1980435974206
"s__Bacteroides_uniformis|t__SGB1836",22.1058476593049,0,20.2451791287266,27.0280668772399,3.10370200007166,0.0024932588849105,3.23791961501978,3.67707907880321,4.64041890307332,2.40571493231323,6.28376005587516,0.384373424291325,19.2401001459493,15.390556633508,0.982668251588104,0,12.0106944015801,0,7.37667763711776,4.25250539666733,1.65197689125125,0,1.86830618764011,13.2779013628279,0,21.1616206520627,0.636593666003141,10.6476221561959,0.344151835053205,13.6641892575977,4.97398176882168,3.36600314301403,0.315482560903465,1.15684699493086,7.65490103226503,0.186521646889242,8.13600090869046,1.68445203726229,61.5159589347587,2.36654503379823,9.64123072606761,0.0076321319008548,0.481365317859881,0.677103102426572,1.7316743514214,8.64578789309414,4.66093532124971,5.91463275301947,0.894306869954686,1.18137238054932,0,6.83537672174444,7.48065908757709,8.32828188717951,0,4.2230048517508,0,0.512532597656898,0.187713409330451,7.265045461815,0.612495092807669,12.878092332452,1.03396608961337,0.359221926006366,10.1343744065481,13.2926332622405,0.588927975881498,1.30979286349206,0.159440276695752,3.44063195198284,6.78443124678371,6.71091709618158,1.41735791132284,4.71006355851294,10.007669976381,1.8768695373376,0,11.6877769230867,0.0590920384970102,7.76347215735546,3.6849904483064,0.523159362983223,10.5000978467696,5.61178474169905,7.99011524625837,0.310572142332161,0.631588772592888,10.5374927576964,2.6376475485162,2.44536563067606,0,3.28944455382368,0.820085279789767,9.96784743138038
"s__Faecalibacterium_prausnitzii|t__SGB15332",4.94720199644066,0,0,0.775616375789861,0.0598078155364132,0,0,0,3.03130300598243,0,0,0,0,0,0.0691374773222573,0,0,0.622796750968968,5.95874479080771,0.951754973870868,0.0235054581950236,0,0.227468653318144,4.26943075504988,0,1.62984935211827,5.55828455635244,1.12396963714064,11.7017626976982,0.332459193566325,0.027334691747926,0.677557026138286,0.0763316037792829,0.0995138881074552,1.78532326917831,0.502191142941651,1.39620884289248,0,0.0068626443507916,0,0,1.48932164125522,0,0.2333584881672,0.055670258069106,0,0.802274179467032,0,0.0072320899495582,0.736230133841267,0,6.37730098999168,0.0276888364046217,0.104796493215318,0,0,0,4.21015697369453,0.695960419490886,0,3.55960403564131,1.09425686704642,0,1.74992621288651,1.07837000778308,0.0186364508611166,0.903447089842104,0.0393848298816186,0.0666032869347324,0.953986363995887,0,0,0.798644915238666,0,0,0.0062260742440059,0,2.27489876458774,2.23249646117245,1.50507946654964,0,0.47424136717736,0.0141318188505659,0.243248470595586,0.0168632816144058,19.5849085012787,0.062993631922438,0.768669551911365,0,2.23716039800763,0,0,0,4.546482754738
"s__Bacteroides_thetaiotaomicron|t__SGB1861",4.69348561297997,10.1685150271006,0.0032814143879505,1.70051707381591,0.170538434519009,0,1.17414613571057,0,4.99146302476116,0.987421009340975,1.14280435603528,0,3.48730610014474,1.77307544089048,0.155137555207965,0,1.16281672260621,1.89776723713542,0.155341980023999,0.501637236940486,0.714308448844602,0,0.304586977554432,3.44390181713539,0,4.19086608929876,0.0999688020324425,1.68155244559527,0.0057117339749493,8.8433619802093,0,0.0059639300548352,0.0025229854084055,0.0376479878338966,0.0525609959282101,0.422089731674134,0.58764110493501,0.907943243335654,0,0.351762830798173,0,0,2.73295135452426,0,1.39723270673243,1.30391086189462,0,0.319621642664403,0.82556682278206,0.761979984225747,0,0.0431838455334472,1.4871307537241,0.24543604215144,0,0.0061488427845408,0,0.162354472730375,0.160447326222719,0.0115415585731419,0.455938122177164,1.75065884112135,0,0.0582265608846072,1.04438495438325,2.03984349472607,0.249436596290923,0.310473743340154,0.0369503599198506,0.159947454637855,0.0037792106946138,0.0381502614544259,0.761431408328669,0,0.0070531482640824,3.90721534233212,0,0.646054168318155,0.0136337271739437,0.453880013072106,5.17195558850706,0.156680555148369,0.151339090802524,0.0369292060603802,0.0297099316119366,0.072870804121145,1.80654640304976,0,1.43176563460454,0.0831932147020619,0,0,1.0199839704963,0.606928621759489
"s__Roseburia_faecis|t__SGB4925",3.65509023882897,0.129199640575014,0,0,0,0.220421581979668,0,0,1.61734591647946,17.1828311990395,0.37310126502197,0,0.001982625511756,0.22856518253516,0.91420723431745,2.44551554863327,0.25118005170583,0.0733019008381381,3.4335789232185,0,0.266890773208726,0,2.00081998509652,0.640865832370227,0,0,3.18435447890012,0,0.0152724880628474,0.0548685336117904,2.27681903029784,0.977125622592012,0,2.16357889219264,0.470880534108498,0.0478926470757708,0.155452964391218,0,0.932737193257227,0.22938447333741,0,0,0,0,0,0,0,0.081384991582128,0.310399189075933,0.428219408852908,0,0.979144851477584,2.18497184880968,0.0544438704288486,0,0,0.0089011157020935,0,1.3555014288082,0,0.11178680900696,3.14892545688916,0,0.0247854057053116,0.0437446965898736,0.112137707478737,0.586948749874912,0.847244060678995,0,0.840444458192197,0,0,0.629684829629746,3.8071569676983,2.27990225586299,0.0021579007322975,0,0.90509410874257,2.53341014452708,0,0,1.92071774697851,0,1.10777350561291,2.01876397902375,0,0.0831430154435349,0.215936681363354,0.418142306475845,0.0189402861248385,0,0,2.30128211002601,0
"s__Bacteroides_caccae|t__SGB1877",2.13567054357347,0,2.21047464610899,0.0389343491867791,2.14599520491914,0,0,9.37405225937502,2.46756655713972,0.337524946883098,0.498421115911566,0.104673532138381,2.99067493132912,2.41929901535361,1.02482882805728,0,0,1.18641004540739,0.591176857645331,0,0.256167965247674,3.10592959268745,0.913937182975802,0,0,0.627335253998968,0.20735381998563,0,0.0577529577497965,8.19316281646472,0,0.755774163707126,0,0.636068070199475,0.493659847310937,0,1.32364299216201,1.600360037756,0,0.453936225988837,6.17916112200565,0.007802942584292,1.76535732274766,0,0,0,0.177022319780578,1.80176770169279,3.41133811728964,1.22473102791803,0,0.751151691744302,0,1.88448145437188,0,4.90375768250375,0,0,0.310083162404927,7.87735971560899,0,1.80938725615282,0,0.0278731778734347,0,1.62262204977224,0.381039663025699,0.18617398793773,0,0.260230632203212,0,2.12641328697536,1.02776171119135,3.2916687398702,0,0.0093744867878498,0,2.38538828886959,0.843822257823783,0.689015955093999,1.80584267666922,0.451585722822902,1.84337670022591,1.05890819147694,0,0.214468676416504,2.4050404021155,0.91103488608455,0.977107827531757,0.994395669266201,0,0,3.37350167908361,0
"s__Enterocloster_clostridioformis|t__SGB4760",1.17103200555285,0.456834112888511,0,0.0313537858207765,0,0,0.0349462600431118,0,0,0.0016367219001987,0,0,0,0,0,6.21031706448882,0,0,0,0,0.200884456503477,0.0062747688029216,0,0,0,0,0,0,0,0,0,0,0.0288276645674843,0,0,0,0,0,1.35043841472657,0.0108862631895029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405148659582226,0,0,0,0,0,0,0.0435790052324576,0,0.0083394817047422,0.0058243031940606,0.0006631890171298,0,0,0,0,0.0633972334255215,0,0,0,0,0.0179088073069772,0,0,0,0,0,0,0,0,0,0,0,0,0.0053455342677331,0,1.4872306198289,0,0,0
"s__Dialister_invisus|t__SGB5825_group",1.01804134051014,1.75380064442069,0,0,0.0050014968719839,0,0,0,0,0.689310518552138,0,0,0.891974956799405,0.145138366597586,0.374921871010077,0,0,0,0,0,0.0793869856636168,0,0.556765924685689,0,0.0835216936142933,0.0115336192069117,0,0,0.765875550226781,0.0022998786543864,1.93996303645284,1.56853699238268,0,0,0.297607908825423,0,0.200954989252387,2.21652097407992,2.44080539962793,0.0202699764497314,0.49737075651349,0.008338667000527,4.87051689242946,0,0,0.19068815571597,0.114688010896359,0.297966689366244,0.0019092013613797,0,0,0.304200884187137,0,0,0.100189918805915,0,0,0.169928887461047,0,0.0014626399113428,0,0,0.225218525575882,0,0.91343312348231,0.419160643219107,0,0.0003729316950503,0,0,0.804566684228783,0,0,0,0,0.481362208845168,0,0,0,0.198585701132953,0,0,0.0179906918946319,0,2.06275800548588,0,0.0020884197891347,0.444263677586552,0,0,0,5.95272078133481,0.654879485474737,0.0271411971215626
"s__Clostridium_fessum|t__SGB4705",0.884207413011762,0,0.0584108763202288,0,0.101929665663324,0,0,0,0.155781941875696,0.165998057983318,0,0,0.332444993623324,0,0.0190468330192284,6.11043579549246,0.0218159311195615,0.0391849300528152,0.0973871975057259,0.049860086289932,0.015772743855954,0.359524011217721,0.0470147708605415,0.0668971619890456,0,0,0,0,0,0.0048813751031875,0,0.0646131402542154,0,0.0740608464988241,0.0273899268803529,0.0900665048704053,0.0640581811436638,1.33907573263026,0,0.306939165840731,0,0.165989163691125,0.0724994529449662,0.0504519597470518,0.569485510181662,0.0260943366752268,0.135336705664934,0,0.0452225575921285,0.0606206957821977,0,0.0230553088526677,0.0323270233767702,0.11218713411768,0,0.261686970253525,0,0.0213544752329235,0.0492033118170182,0.663420221968959,0.328747463115756,0.76677314044421,0,0,0,0.100065988407437,0.0862354956150684,0.0104907307259807,0,0.869971613875506,0.342053632704046,0,0.583429363189552,0.0172950066696391,0.209180398394815,0,0,0.44981428728187,0.202389290296516,0.0539470745837679,0.05314376702526,0.0356609102603349,0.102694693442981,0.0582345172490611,0.0044026882344478,0,0,0.0295965170252869,0,0.0622684892138199,0,2.04542917851113,0,0.297914251267473
"s__Clostridium_sp_AF36_4|t__SGB4644",0.82587956274932,0,0,0,0,0,0.127043714096959,0,0.110139129034775,0.0479583010374035,0,0,0,0.269505229949796,0,0,0.609725590408659,0.14526067533728,0.612967411652681,0.626192124643093,0,0,0.0031108180157021,0.0583037950060232,0.79198304359303,0,0,0,0,0,0.347606551781669,0.386548423410324,0,0.035099556763745,0.0268496205899724,0,0.0300127581350967,0,0,0,0,1.93349929528981,0,0.0594835361994822,0,0,0.141499770848505,0,0.075936944470362,0.0927100146014983,0,0,0.797680480816871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318787339967665,0,0.0730272024425871,0,0,0,0,0,0,0.0079542629257925,0.11868694211025,0,0.368160313170592,0,0,0,0,0,0.0152798472432033,0.0020938728698493,0.107351273824884,0,0,0,0
