feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
CSM67UH7	0	0	0	0	0	0.0225249974348875	0.00300035415101396	1.15843789614439e-05	0	0	0	0.0161320751594507	0	0.0488893890398536	0.0050689932512718	0	0	0.0277131442983342	2.31687579228878e-05	0.0728491945546799	8.93652091311385e-05	0	0	0	0	5.13022496863943e-05	0	0	0.00465692034250044	0	0	0	0	0.00519642141984768	0.00163836216740421	0	0.00326513995584697	9.92946768123761e-06	0.0106890719588523	0	0	0	0.000223413022827846	0	0	0	0.00252042987975415	0.000355805925244348	0.0102041829537518	0.000388904150848473	0	0	0	0.000542810899907656	0.00617447398644959	0.00159367956283864	0.00048323409382023	0	0.00422664340964681	0.000273060361234034	0.000152251837778977	0.00399661074169814	0	3.30982256041254e-06	0.000182040240822689	0.0185879634992768	0	0	0	0.105009085462928	0	0	0	0	0	3.30982256041254e-06	0.000125773257295676	0.0149107506346585	0.00646077363792527	0	0.00123621872631408	0.000196934442344546	0.000102604499372789	0.000451790779496311	0.00202230158441206	0.597247551558761	0.000514677408144149
CSM79HHW	0.00254847263835796	0	0	0	0	0.143016469703111	0	0.132324540837817	0	0	0	0.039347675777059	0	1.85439796969914e-05	0.135800212461025	0	0	0	9.00707585282438e-05	4.23862393074088e-05	0.00258291145779523	0	0	0	0	0	0	0	0.000397370993506958	0	0	0	0	0	0.134144499988079	0	0	0	0.0382350369952395	0	0.000638442729567846	0.000577512510563446	0.000196036356796766	0.0131158919256863	0	0.00332731978563159	0	0	0.0401795057234669	0	0	0	0.192793809489749	0	0.0146364982608396	0	0	0.000707320368442385	0	0	0	0	0.000643741009481272	0.00142788643666834	0.000113913018138661	0.0122681671395381	0	0	0	0.064403241487651	0.0135741931381977	0	0	0.00231005004225378	0	0.000707320368442385	0	0	0.00476580278212678	0	0.00425186963052445	0.000161597537359496	0.000651688429351411	0	0	0	0
HSM67VDT	0	0	0.00145725641327622	0	0.000472508652016534	0.0330954708697707	0	0.00203051015326024	0	0.0197545509110336	2.8378898019011e-06	0.000116353481877945	0	5.39199062361209e-05	0.0286399838807859	0	0.447298257961345	0.0136474120573424	0.0752636754362191	0.0814871677717883	0	0	0	0	0.00664917580585428	5.67577960380221e-06	0.00329479006000718	0.0511132332220408	0	0	0	0	0.00368074307306573	0.017848907909057	0.111321903259175	0.00527847503153605	0	0.00028378898019011	4.68251817313682e-05	0	0	0	0.001406174396842	0	0	0.000106420867571291	8.37177491560825e-05	1.98652286133077e-05	0.0169833515194771	0.0038652059101893	0	0.00209010583910016	0.000641363095229649	0.0010188024388825	0.00163036769119218	0	0.000603051582903984	0	1.84462837123572e-05	0.00028378898019011	1.70273388114066e-05	0.000120610316580797	0.000202909120835929	0.00507840380050202	0	0.0162455001709829	0	0	0.002065983775784	0.0155459603348142	0	0	0.00509826902911533	0	0	0.000218517514746385	0.000119191371679846	7.80419695522803e-05	0.00117204848818516	0	0	0.00131678086808211	0.000217098569845434	0	0.00061724103191349	0.0202923310284938	0
HSM6XRQB	0	0	0	0	0	0.0684648241102738	0	0	0	0	0	0	0	0.0418973973171524	0.287131704549659	0	0	0	0.0628101246048288	0.0266640356178237	0.00403701556840933	0	0	0	0	5.54986865310854e-05	0	0	0.000189106635587402	0	0	0	0	0	0	0	0	0	0.0458254710194081	0.000355602695180658	0.00153751916760192	0.0464976217785068	0	0	0.0392786815156486	0.00137307861491722	0	0.015175807505889	0.000363824722814893	0	0	0	0.172983239396668	0.00114080633425009	0.0340864710646292	0.000162385045776139	0.0019568425769479	0	0.00364441374887461	0.00410073628257465	0	0.0520104913072613	0	0.00355602695180658	0	0.00115108386879288	0	0	0	0.0832295302344511	6.16652072567616e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000258993870478399	0	0	0
HSM6XRR3	0	0	0	0	0	4.8732705980965e-06	0	0	0	2.76152000558802e-05	0	0.242939037009241	0	2.27419294577837e-05	0.0640721374002401	0	0.25522292776351	0.0704658684249427	0.0215739689377732	3.73617412520732e-05	0.058058521482189	0	0	0	0	0	0	0	0.122132283305962	0	0	0	0.0115610222822176	0.00406918094941058	0.000116958494354316	0	0.0215577247024462	0	0.0153069429486211	0	0.000246912376970223	0	0	0	0.002373282781273	0	0	3.08640471212778e-05	0.00461498725639739	4.8732705980965e-06	0	0	0	0.000157569082671787	0.00357698061900283	0.000289147388820392	0.000375241836053431	0	0.00080733849575132	0.00201266075701385	8.28456001676405e-05	0.00316600146523003	0	0.00205976903946212	0	0.0326200489601253	0	0	0	0.0306057637795787	0	0	0.00617930711838636	0	0	0	0.000229043718110536	0.00198666998049067	0.00359160043079712	0	0	0.000588041318836978	0	0	0	0.0172318848348692	0
HSMA33NW	0.00303092702406926	0	0.00192729939774786	0	1.38821085071875e-05	0	0	0.000145762139325468	0	0	0	0	0	0.143443827204768	0.0392123291633022	0.00458340949212306	0.235149036003248	0.0238240118830849	0.0141435548840728	0.00820201244299659	0.00120311607062291	0.0026607374638776	0	0	0.0189791560140765	0	0	0.0817309138360662	0.0283657750496864	0	0	0	0.0215959334676813	0.00313735652262437	0.0965384962437328	0.00714928588120154	0	0	0.0127391482400957	0	0.000418776939966822	0	0	0	0	0	0	0.000888454944459998	0.0162906543331845	0	0	0	0	0.00502532327960186	0.0279724486419827	0.000745006489885727	0.00124244871139328	0	0.000997198127766299	0	0	0	0.00117766553835974	0.0139561464192258	0.00241085951074822	0.0339764605713413	0	0	0	0.017535416729329	0	0	0.0400568240974894	0	0	1.38821085071875e-05	9.25473900479164e-06	0.000316974810914114	0.000115684237559896	0.0401771357045517	0.00761896388569472	0.0412784496461219	0	0	0	0	0
HSMA33NY	0.00765118172308393	0	6.65880498078613e-05	0	0	0	0	0.000625068467551214	0	0	0	0	0	0	0.0162646681659718	0.00219955364526613	0.103177109176478	0.0123681932514086	0.0125421813815517	0.0719387218101639	0.00556547216297318	0.00308023430401526	0.0105423918857091	0	0.0049124796745348	0.000208356155850405	0	0.0418473673018307	0	0.00705403727641988	0.017166828840788	0.168048905700581	0	0.00595640845539352	0.0566299143591759	0.00496617971470243	0	0	0.000173988130143121	0.000126732094795607	0	0	0.00322629841327121	0	0	0.00308023430401526	0	0.00162388921466913	0.0495565450682957	0	0	0.0120524370152229	0.00188809341229387	0.000749652560740115	0.00874881054411029	0.00103533677443191	0.0097025232574874	0	0.00213511359706497	6.44400482011561e-06	0.00859415442842751	0.00321341040363098	0	0.0087939185778511	0.000678768507718844	0.194389849403607	0	0.000732468547886474	0.0102352276559503	0.0207990995577265	0	0	0	0	0	0	0	0.000182580136569942	2.79240208871676e-05	0.0382000605736453	0.00384707087760902	0.062706610904545	0	0	0	0	0.000680916509325549
MSM5LLDI	0.00199047415938011	0.000374149278078968	0.00515951854470897	0	0.000377890770859758	0.0288169773976421	0.095333236054521	0	0	0.0144945430327792	0	0.0784628451059404	0	0	0.0345003049316616	0	0.408339039109824	0	0	0	0.00872516116480153	0.00476292030994526	0	0	0	0.105764517927363	0	0.0174989617357533	0	0	0	0	0	0.0137462444766213	0.139935571494315	0	0	0	0.000187074639039484	0.000187074639039484	0	0.000164625682354746	0	0	0.000501360032625817	0.00231598403130881	0.000269387480216857	0.000359183306955809	0.00584047023081269	0	0	0	0.00124591709600296	1.1224478342369e-05	0.00175476011419036	0	0	0	0	0	0	0	0	0	0	0.0137499859694021	0	0	0	0.00335611902436834	0	0	0.00535407616931003	0	0	0	0	0	0	0	0.00341224141608019	0.00280611958559226	0.000202040610162643	0	0	0	0
MSM6J2PO	0.0243247846484958	0.0023302864987897	0.00387348841050203	0	0.00259866943995706	0.00708892249410332	0	0	0.123007127631572	0	0.000477411962653482	0	0	0	0.000547088303148854	0	0.0285363323406605	0.00302446929853989	0.102117128508978	0.0980759007602463	0.000655473721697212	0	0.000459347726228755	0	0	0.000270963546370895	0	0.0469954013615273	0	0	0	0	0	1.5483631221194e-05	0.00829922633455998	0.000273544151574427	0	0.00776246045222526	0	0	0	0	0	0	0	0	0.00617538825205287	0.00373155512430775	0.0126010952088484	0.000278705361981492	0	0.00452380092179218	0	0.00137030136307567	0.0143920352200998	0.00563862236971815	0.00825019483569287	0	0	0.0019638405598881	0.0068876352882278	0.0228125499992258	0	0	0.00168255459270308	0.198987886639175	0	0.000472250752246417	0	0.197818872481974	0	0	0	0.000660634932104277	0.000779342771466764	0.0056747508425676	0.021945466650839	0	4.38702884600496e-05	0	8.77405769200993e-05	0	0	0	0.0224873937435807	0	0
MSM6J2Q1	0.000160027171960627	0	0.0018795028053743	0	0.000455587560989948	0.00936975421132731	0	0.000873617724478932	0.00174070372765335	0.000403333790553825	0.0286122051744296	0	0	0.00176683061287141	0.0128250347814159	0	0.0937873532812102	0.00223711454679652	0.241771664086637	0.0152091130575641	0.00224038040744877	0.0190089419264659	0.0210452060431486	0.000261268852180615	0.00777111542204717	0.00074951501969314	0.00100098628991698	0.00452648286402916	0.0047665236219701	0.0404705452027773	0.0791416011861606	0	0.00164436083841175	0.00409212339727888	0.0567361641813467	0.0200131940770351	0	0.00052253770436123	0	0	0	0	0	0	0	0	0.0247339956498736	2.93927458703192e-05	0.0162933787941136	0.00642394790299087	0	0.000246572479245456	0	0.00039516913892318	0.00370022011900796	0.000418030163488984	7.3481864675798e-05	0	0.000450688770011561	0.0173025297356612	0.00183867954722108	0	0	0.000760945531976042	0	0.165629755909575	0.00136676268296984	0.00360714309041862	0.00297846491485901	0.0516120288179544	0	0	0.00113162071600729	0.00151209348199531	0.000796869999150876	0.00168028530558658	0.00330178511943252	8.00135859803134e-05	0.000187786987504817	0.0120330635732435	0.000101241680219988	0	8.81782376109576e-05	0	0.00430113847902338	0.00184194540787334	0
MSM79H8D	0.00170908634345205	0	0.000949350060343303	0	0.00146694442522683	0	0	0.0494110442338194	0.0239284899824992	0.058407449259097	0.0179146584261544	0	0	0.0648210071566389	0.0439224940873812	0	2.30611350690681e-05	1.66552642165492e-05	0.206901941491338	0.000102493933640303	0	0.00182054849628588	0.0338447780621984	0.000664929394491464	0.0114767582193729	0.0508408346081016	0	0.0669541621505277	0	0	0	0	0.00441108266904453	0.0507293724552678	0.0887546218358201	0.01014689943039	0	0	0.000895540745182145	0.000140929158755416	2.04987867280605e-05	0	0.000243423092395719	0	3.58728767741059e-05	0.00066364822032096	0	0.00137341871078006	0.0439353058290862	0.00028442066585184	0	0.000518875539054032	0.000106337456151814	0.00124786364207068	0.0033195222757753	0.000552186067487131	0.00126964360296925	0	0.0029787299464213	0.00019986317059859	0	0.0023688910412615	0	0.00990731986050576	0.000412538082902218	0.0448180348325633	0.00471215859911291	0	0	0.0692846179666741	0	0	0	0.000425349824607256	0	0.000176802035529522	0.000155022074630958	0	0	0.0152523784998475	0.00538093151611589	0	0	0	0.000101212759469799	0	0
MSM79HBZ	0	0	0	0	0	0	0	0	0	0	0	0.335355692536686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00810561568703587	0	0.0297448591629051	0	0	0	0	0	0	0	0	0.000436829587924089	0	0	0	0	0	0	0	0	0	0	0	0.000792764807714087	0.168575773754631	0	0	0	0.00100309016486272	0.00829167273374428	0	0	0.000728049313206815	0.00191719652477794	0.00825122554967723	0.234674561956997	0	0	0	0	0.170881263246453	0.00762024947823133	0.0236211554951544	0	0	0
