feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
CSM67UH7	-18.1841247123031	-18.7776389938191	-17.6796664111482	-16.7972393271908	-17.136413763737	-5.47232924802782	-8.38065148335556	-16.3974597710421	-18.4869855562557	-17.6935433505647	-19.7164293081908	-5.95392415737638	-17.6675135286184	-4.35433481336467	-7.62408504150076	-15.9566289619851	-19.2646289118694	-5.1732857833125	-15.3974597710421	-3.7789431683208	-13.4499271909363	-14.4243342784598	-15.2404219279857	-15.9626600744079	-9.59404290926021	-14.2506183827128	-16.0183707269416	-14.7569940681854	-7.74640807986319	-12.1362827675802	-19.5862588965782	-16.7627518532167	-15.99960663352	-7.58826584932073	-9.25352997813275	-16.6369707029974	-8.25863945237616	-16.6198521923786	-6.54771958821133	-19.4869855562557	-19.1314668074696	-17.2032923810023	-12.1279990960489	-18.0511664480929	-19.5862588965782	-16.2060575109875	-8.63211446661243	-11.4566218435103	-6.61469551899255	-11.3282977465347	-18.1652423357491	-17.6080550435583	-16.6504890801459	-10.8472626884816	-7.33946804828294	-9.29342270525626	-11.0149901342197	-13.7523158283631	-7.886271883397	-11.8384924788539	-12.6812527370427	-7.96700721937659	-16.0770755831465	-18.2048146930997	-12.4234549795751	-5.74948747279516	-15.7970138592133	-17.8850698784898	-17.6675135286184	-3.25141393856495	-17.3805557625182	-19.4983447639556	-15.6793683009696	-17.0371354788704	-19.1314668074696	-18.2048146930997	-12.9568871796561	-6.06750330239882	-7.27407735553683	-18.8432077832234	-9.65985026031048	-12.3099969297918	-13.2506183827128	-11.1120575521799	-8.94978612328099	-0.743599060582103	-10.9240439229691
CSM79HHW	-8.61615142081146	-18.7776389938191	-17.6796664111482	-16.7972393271908	-17.136413763737	-2.8057467982976	-18.0407896527093	-2.91784744701436	-18.4869855562557	-17.6935433505647	-19.7164293081908	-4.66757776989818	-17.6675135286184	-15.7186895825239	-2.88044235818965	-15.9566289619851	-19.2646289118694	-19.3859045190663	-13.4385816633312	-14.5260445045815	-8.59678609594453	-14.4243342784598	-15.2404219279857	-15.9626600744079	-9.59404290926021	-18.4267500001292	-16.0183707269416	-14.7569940681854	-11.2972258140856	-12.1362827675802	-19.5862588965782	-16.7627518532167	-15.99960663352	-17.9064972291286	-2.89814019051321	-16.6369707029974	-13.836849603725	-17.7956386002183	-4.70896091977812	-19.4869855562557	-10.6131551683515	-10.7578601798046	-12.3165911389525	-6.25254027061934	-19.5862588965782	-8.23142375568987	-16.0497651183291	-19.0777614989184	-4.63739637320699	-18.6466782360422	-18.1652423357491	-17.6080550435583	-2.37486936677293	-17.8552659394907	-6.09428575541534	-18.4534287309697	-18.7356133145492	-10.4653485728939	-17.1183003453245	-18.4140272635307	-18.3821117428709	-15.9773363165653	-10.6012320009757	-9.45190304182899	-13.0997797498794	-6.34893646287781	-15.7970138592133	-17.8850698784898	-17.6675135286184	-3.9567228871418	-6.20298974423985	-19.4983447639556	-15.6793683009696	-8.75786017980457	-19.1314668074696	-10.4653485728939	-18.650562705281	-18.2540967005496	-7.71306503333002	-18.8432077832234	-7.87768692257183	-12.5953071670186	-10.5835299992423	-14.0777614989184	-17.4821997744315	-16.3497304458492	-16.9501229871399
HSM67VDT	-18.1841247123031	-18.7776389938191	-9.42252953381099	-16.7972393271908	-11.0473716330579	-4.91722239270604	-18.0407896527093	-8.94394204340252	-18.4869855562557	-5.6616711405125	-18.4267500001292	-13.0691979955111	-17.6675135286184	-14.1788224866856	-5.12582550915289	-15.9566289619851	-1.16069095522453	-6.19522878925348	-3.73190244588937	-3.61728330159173	-14.764767945128	-14.4243342784598	-15.2404219279857	-15.9626600744079	-7.23260876126605	-17.4267500001292	-8.24559774326362	-4.29015933633779	-15.2703034387695	-12.1362827675802	-19.5862588965782	-16.7627518532167	-8.08578723587749	-5.80802038456164	-3.16719061528505	-7.5656630941338	-13.836849603725	-11.7828938103545	-14.3823558807707	-19.4869855562557	-19.1314668074696	-17.2032923810023	-9.4740087529427	-18.0511664480929	-19.5862588965782	-13.1979313096333	-13.5441069507673	-15.6193950780716	-5.8797349992346	-8.01523901211712	-18.1652423357491	-8.90220828509334	-10.606571037714	-9.93890996630614	-9.26058691748308	-18.4534287309697	-10.6954309691041	-13.7523158283631	-15.7263102819881	-11.7828938103545	-15.841787499408	-13.0173590639915	-12.2668786633508	-7.6214091717128	-14.4039338014844	-5.9438160273269	-15.7970138592133	-17.8850698784898	-8.91895535993049	-6.00731644942381	-17.3805557625182	-19.4983447639556	-7.61577678012702	-17.0371354788704	-19.1314668074696	-12.1599634594343	-13.0344325773504	-13.6453902866045	-9.73675202870974	-18.8432077832234	-14.9114555230251	-9.56876900500162	-12.1693621574365	-14.0777614989184	-10.6618784093931	-5.62292158933836	-16.9501229871399
HSM6XRQB	-18.1841247123031	-18.7776389938191	-17.6796664111482	-16.7972393271908	-17.136413763737	-3.86849323989311	-18.0407896527093	-18.4526273491019	-18.4869855562557	-17.6935433505647	-19.7164293081908	-16.7397509487973	-17.6675135286184	-4.57699556385158	-1.80021545583927	-15.9566289619851	-19.2646289118694	-19.3859045190663	-3.99285905836709	-5.22896104006034	-7.95249513420145	-14.4243342784598	-15.2404219279857	-15.9626600744079	-9.59404290926021	-14.1371868463527	-16.0183707269416	-14.7569940681854	-12.3685123924591	-12.1362827675802	-19.5862588965782	-16.7627518532167	-15.99960663352	-17.9064972291286	-14.4899917545868	-16.6369707029974	-13.836849603725	-17.7956386002183	-4.44770648011983	-11.4574461208794	-9.34517988862851	-4.42669926142711	-17.8844305052041	-18.0511664480929	-4.67010968687264	-9.50837005604209	-16.0497651183291	-6.04208290533683	-11.4244687984331	-18.6466782360422	-18.1652423357491	-17.6080550435583	-2.53129583512196	-9.77573038727867	-4.87465694321831	-12.588293600339	-8.9972565852082	-13.7523158283631	-8.10009752761745	-7.92990131740643	-18.3821117428709	-4.26505352363062	-16.0770755831465	-8.13551802599206	-14.4039338014844	-9.76279133157118	-15.7970138592133	-17.8850698784898	-17.6675135286184	-3.58676069549478	-13.9851837529076	-19.4983447639556	-15.6793683009696	-17.0371354788704	-19.1314668074696	-19.2048146930997	-18.650562705281	-18.2540967005496	-19.7164293081908	-18.8432077832234	-14.9114555230251	-15.8953951022036	-16.4572739898118	-11.9147944250162	-17.4821997744315	-16.3497304458492	-16.9501229871399
HSM6XRR3	-18.1841247123031	-18.7776389938191	-17.6796664111482	-16.7972393271908	-17.136413763737	-17.6466782360422	-18.0407896527093	-18.4526273491019	-18.4869855562557	-15.1441778955131	-19.7164293081908	-2.04133376475471	-17.6675135286184	-15.4242858147058	-3.96415907120493	-15.9566289619851	-1.97017015651769	-3.82693156173418	-5.53456457794437	-14.7080787807064	-4.10634835700191	-14.4243342784598	-15.2404219279857	-15.9626600744079	-9.59404290926021	-18.4267500001292	-16.0183707269416	-14.7569940681854	-3.03348349563267	-12.1362827675802	-19.5862588965782	-16.7627518532167	-6.43458721613359	-7.94104584868082	-13.0617157353211	-16.6369707029974	-5.5356512720609	-17.7956386002183	-6.02967000839027	-19.4869855562557	-11.9837132233198	-17.2032923810023	-17.8844305052041	-18.0511664480929	-8.71890027395989	-16.2060575109875	-16.0497651183291	-14.9837132233198	-7.75945762057385	-17.6466782360422	-18.1652423357491	-17.6080550435583	-16.6504890801459	-12.6317278945763	-8.12704198319902	-11.755907305797	-11.3798916953473	-13.7523158283631	-10.2745386952011	-8.95668026462279	-13.5592153947919	-8.3031223615055	-16.0770755831465	-8.92330170662398	-14.4039338014844	-4.93809724235163	-15.7970138592133	-17.8850698784898	-17.6675135286184	-5.03005281812555	-17.3805557625182	-19.4983447639556	-7.33833920590283	-17.0371354788704	-19.1314668074696	-19.2048146930997	-12.0920893843646	-8.97543204823601	-8.12115742694717	-18.8432077832234	-14.9114555230251	-10.7317948496802	-16.4572739898118	-14.0777614989184	-17.4821997744315	-5.8587756766508	-16.9501229871399
HSMA33NW	-8.36602516803335	-18.7776389938191	-9.01920357909261	-16.7972393271908	-16.136413763737	-18.6466782360422	-18.0407896527093	-12.7440963409582	-18.4869855562557	-17.6935433505647	-19.7164293081908	-16.7397509487973	-17.6675135286184	-2.80144220870954	-4.67254885109427	-7.76936309956868	-2.08835267702778	-5.39143981114573	-6.14371141269332	-6.92980635233128	-9.69900845142971	-8.55395811862642	-15.2404219279857	-15.9626600744079	-5.71944035133452	-18.4267500001292	-16.0183707269416	-3.6129743243495	-5.13970490588002	-12.1362827675802	-19.5862588965782	-16.7627518532167	-5.53309651249402	-8.31623480132182	-3.37275183532084	-7.12798514166643	-13.836849603725	-17.7956386002183	-6.2945873698626	-19.4869855562557	-11.221530377375	-17.2032923810023	-17.8844305052041	-18.0511664480929	-19.5862588965782	-16.2060575109875	-16.0497651183291	-10.136413763737	-5.93981163721384	-18.6466782360422	-18.1652423357491	-17.6080550435583	-16.6504890801459	-7.6365678766538	-5.15984964032168	-10.3904593863435	-9.65259798647275	-13.7523158283631	-9.96983220536906	-18.4140272635307	-18.3821117428709	-15.9773363165653	-9.72985441838247	-6.1629555511895	-8.69623670217965	-4.87932061924595	-15.7970138592133	-17.8850698784898	-17.6675135286184	-5.83358447311657	-17.3805557625182	-19.4983447639556	-4.64180814806578	-17.0371354788704	-19.1314668074696	-16.136413763737	-16.7213762644582	-11.6233441814976	-13.0775200746834	-4.63748147418871	-7.03618946786281	-4.5984674033608	-16.4572739898118	-14.0777614989184	-17.4821997744315	-16.3497304458492	-16.9501229871399
HSMA33NY	-7.03010169576294	-18.7776389938191	-13.8743771864777	-16.7972393271908	-17.136413763737	-18.6466782360422	-18.0407896527093	-10.6436981539563	-18.4869855562557	-17.6935433505647	-19.7164293081908	-16.7397509487973	-17.6675135286184	-19.5062126515944	-5.94211480116085	-8.82857349686456	-3.2768051642493	-6.33722142330112	-6.31706790107207	-3.79708766353079	-7.48928019668446	-8.34274418816265	-6.56765396320165	-15.9626600744079	-7.66933284645288	-12.2286606546774	-16.0183707269416	-4.57871932685731	-15.2703034387695	-7.14733508508675	-5.86423262907214	-2.57304694674002	-15.99960663352	-7.39134159582508	-4.14229184172012	-7.65364781436388	-13.836849603725	-17.7956386002183	-12.4887234939799	-12.9459304475027	-19.1314668074696	-17.2032923810023	-8.27590439935028	-18.0511664480929	-19.5862588965782	-8.34274418816265	-16.0497651183291	-9.26633107264348	-4.33478057910374	-18.6466782360422	-18.1652423357491	-6.37453129939447	-9.04885414172115	-10.3814902706549	-6.83669739786114	-9.91568416063459	-6.68742429842704	-13.7523158283631	-8.87147145530227	-17.2436109961434	-6.86242858351895	-8.28167903697692	-16.0770755831465	-6.82927810984114	-10.5247927486875	-2.3629752082349	-15.7970138592133	-10.4149455678404	-6.61031299806725	-5.58733511774115	-17.3805557625182	-19.4983447639556	-15.6793683009696	-17.0371354788704	-19.1314668074696	-19.2048146930997	-18.650562705281	-12.4191825607269	-15.1281337787235	-4.71028126383756	-8.02202387487859	-3.99523864122215	-16.4572739898118	-14.0777614989184	-17.4821997744315	-16.3497304458492	-10.5202344667251
MSM5LLDI	-8.97267214238437	-11.3840983881108	-7.59854783637158	-16.7972393271908	-11.3697430951338	-5.11693717008858	-3.3908769207419	-18.4526273491019	-18.4869855562557	-6.10834633928231	-19.7164293081908	-3.67184654049517	-17.6675135286184	-19.5062126515944	-4.85724707653749	-15.9566289619851	-1.29216059238	-19.3859045190663	-18.4402284402118	-17.4402284402118	-6.84060250468507	-7.7139378739842	-15.2404219279857	-15.9626600744079	-9.59404290926021	-3.24107238422086	-16.0183707269416	-5.83658686446662	-15.2703034387695	-12.1362827675802	-19.5862588965782	-16.7627518532167	-15.99960663352	-6.18481866677421	-2.83716535400518	-16.6369707029974	-13.836849603725	-17.7956386002183	-12.3840983881108	-12.3840983881108	-19.1314668074696	-12.5685229592483	-17.8844305052041	-18.0511664480929	-10.9618653874278	-8.7541589786713	-11.8580295764433	-11.4429920771644	-7.41969975590765	-18.6466782360422	-18.1652423357491	-17.6080550435583	-9.6485762108143	-16.4429920771644	-9.15451046537019	-18.4534287309697	-18.7356133145492	-13.7523158283631	-17.1183003453245	-18.4140272635307	-18.3821117428709	-15.9773363165653	-16.0770755831465	-19.2048146930997	-14.4039338014844	-6.18442604327447	-15.7970138592133	-17.8850698784898	-17.6675135286184	-8.2189904029663	-17.3805557625182	-19.4983447639556	-7.54514662115889	-17.0371354788704	-19.1314668074696	-19.2048146930997	-18.650562705281	-18.2540967005496	-19.7164293081908	-18.8432077832234	-8.19506456372082	-8.47720779250232	-12.2730670757221	-14.0777614989184	-17.4821997744315	-16.3497304458492	-16.9501229871399
MSM6J2PO	-5.36142915713925	-8.74527694567375	-8.01215086153392	-16.7972393271908	-8.58801115514782	-7.14021792807875	-18.0407896527093	-18.4526273491019	-3.02318618012941	-17.6935433505647	-11.0324776626383	-16.7397509487973	-17.6675135286184	-19.5062126515944	-10.8359386685914	-15.9566289619851	-5.13105626680273	-8.36910226873236	-3.29170321944158	-3.34995750924169	-10.5751744363824	-14.4243342784598	-11.0881256921882	-15.9626600744079	-9.59404290926021	-11.8496136054885	-16.0183707269416	-4.41133659803782	-15.2703034387695	-12.1362827675802	-19.5862588965782	-16.7627518532167	-15.99960663352	-15.9788966224334	-6.91280743197568	-11.8359386685914	-13.836849603725	-7.00927027147697	-17.2994680044829	-19.4869855562557	-19.1314668074696	-17.2032923810023	-17.8844305052041	-18.0511664480929	-19.5862588965782	-16.2060575109875	-7.33925444161611	-8.06600728620349	-6.31030706051714	-11.8089716209911	-18.1652423357491	-7.78824884239507	-16.6504890801459	-9.51129107235045	-6.11858556751397	-7.47044155876664	-6.92135609437408	-13.7523158283631	-17.1183003453245	-8.99210647965106	-7.18177553301264	-5.45402846887581	-16.0770755831465	-19.2048146930997	-9.21513096892353	-2.32924748531191	-15.7970138592133	-11.0481592848706	-17.6675135286184	-2.33774802502222	-17.3805557625182	-19.4983447639556	-15.6793683009696	-10.5638591231546	-10.3254543838295	-7.46122723429964	-5.5099332416235	-18.2540967005496	-14.4763962819043	-18.8432077832234	-13.4763962819043	-15.8953951022036	-16.4572739898118	-14.0777614989184	-5.47473972523944	-16.3497304458492	-16.9501229871399
MSM6J2Q1	-12.6093954899081	-18.7776389938191	-9.05543321589112	-16.7972393271908	-11.0999840221942	-6.73777308125469	-18.0407896527093	-10.1607102527348	-9.16611361126418	-11.2757381024387	-5.12722549771957	-16.7397509487973	-17.6675135286184	-9.14462055019654	-6.28489345135696	-15.9566289619851	-3.41446279356467	-8.80414515617546	-2.04828292588838	-6.03892016720302	-8.80204056785054	-5.71717795867848	-5.57036455531678	-11.902177239136	-7.00766259486286	-10.3817549906095	-9.96436207033257	-7.78739379188614	-7.71284683852109	-4.62698390523378	-3.65941993568517	-16.7627518532167	-9.24825736601657	-7.93293463470149	-4.13958757359342	-5.6429047520984	-13.836849603725	-10.902177239136	-17.2994680044829	-19.4869855562557	-19.1314668074696	-17.2032923810023	-17.8844305052041	-18.0511664480929	-19.5862588965782	-16.2060575109875	-5.33736087125109	-15.054180332581	-5.93957038001493	-7.28232409174482	-18.1652423357491	-11.9857005946983	-16.6504890801459	-11.3052420967488	-8.07817318820284	-11.2241053340234	-13.7322522376937	-13.7523158283631	-11.1155808772452	-5.85287320565373	-9.08711422194312	-15.9773363165653	-16.0770755831465	-10.3599191893691	-14.4039338014844	-2.59396621403798	-9.51502152147301	-8.11492763066808	-8.39121531985861	-4.2761488471188	-17.3805557625182	-19.4983447639556	-9.78739379188614	-9.36923695076312	-10.2933679964605	-9.21707806712938	-8.24253805212034	-13.6093954899081	-12.378615283079	-6.37685219570251	-13.2699090236365	-15.8953951022036	-13.4692178318599	-14.0777614989184	-7.86106570376684	-9.08455398162456	-16.9501229871399
