feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Coprobacter.fastidiosus	antibiotics	antibiotics	0.715339136905681	0.207866656074676	111	15	0.000826757066960297	0.0993685983576397
Ruminococcus.gnavus	age	age	-1.29980953661794	0.388795032997038	111	69	0.00114216779721425	0.0993685983576397
Acidaminococcus.unclassified	antibiotics	antibiotics	1.48983482110782	0.429329882033064	111	19	0.000751055902531106	0.0993685983576397
Ruminococcus.bromii	age	age	1.06452767544263	0.335980010825182	111	31	0.00199827930117864	0.120545750879129
Veillonella.parvula	age	age	-1.45755383910431	0.466843648799813	111	66	0.00230930557239711	0.120545750879129
Klebsiella.pneumoniae	antibiotics	antibiotics	0.457067312778849	0.156830333823294	111	13	0.00434039276954616	0.161834644693078
Haemophilus.parainfluenzae	age	age	-1.20533370638041	0.413333942524694	111	70	0.00431832124256523	0.161834644693078
Bifidobacterium.longum	age	age	-1.03558150484745	0.389934560669903	111	75	0.00912201576199609	0.229548544762361
Bifidobacterium.pseudocatenulatum	age	age	-0.654278950666493	0.251362474959608	111	18	0.0105539560810281	0.229548544762361
Bacteroides.ovatus	age	age	-0.997633143859925	0.370241585569101	111	98	0.00818620223670843	0.229548544762361
Clostridium.clostridioforme	age	age	1.10805858611598	0.417180101949461	111	34	0.00911479909901854	0.229548544762361
Eubacterium.siraeum	age	age	1.26078079490042	0.483404852930164	111	46	0.0104046941076682	0.229548544762361
Alistipes.putredinis	diagnosis	diagnosis	-1.16421538039446	0.4655224325415	111	75	0.0139045099352573	0.241299323399437
Streptococcus.salivarius	antibiotics	antibiotics	0.843674998058523	0.332555042062384	111	43	0.0126245712815121	0.241299323399437
Eubacterium.hallii	antibiotics	antibiotics	1.06643710944282	0.430436828797712	111	66	0.0147922956873218	0.241299323399437
Veillonella.atypica	age	age	-0.872314838651542	0.348431825190927	111	41	0.0138060729536168	0.241299323399437
