,celltype
cell0,astrocytes
cell1,astrocytes
cell2,astrocytes
cell3,astrocytes
cell4,astrocytes
cell5,astrocytes
cell6,astrocytes
cell7,astrocytes
cell8,astrocytes
cell9,astrocytes
cell10,astrocytes
cell11,astrocytes
cell12,astrocytes
cell13,astrocytes
cell14,astrocytes
cell15,astrocytes
cell16,astrocytes
cell17,astrocytes
cell18,astrocytes
cell19,astrocytes
cell20,astrocytes
cell21,astrocytes
cell22,astrocytes
cell23,astrocytes
cell24,astrocytes
cell25,astrocytes
cell26,astrocytes
cell27,astrocytes
cell28,astrocytes
cell29,astrocytes
cell30,astrocytes
cell31,astrocytes
cell32,astrocytes
cell33,astrocytes
cell34,astrocytes
cell35,astrocytes
cell36,astrocytes
cell37,astrocytes
cell38,astrocytes
cell39,astrocytes
cell40,astrocytes
cell41,astrocytes
cell42,astrocytes
cell43,astrocytes
cell44,astrocytes
cell45,astrocytes
cell46,astrocytes
cell47,astrocytes
cell48,astrocytes
cell49,astrocytes
cell50,astrocytes
cell51,astrocytes
cell52,astrocytes
cell53,astrocytes
cell54,astrocytes
cell55,astrocytes
cell56,astrocytes
cell57,astrocytes
cell58,astrocytes
cell59,astrocytes
cell60,astrocytes
cell61,astrocytes
cell62,oligodendrocytes
cell63,oligodendrocytes
cell64,oligodendrocytes
cell65,oligodendrocytes
cell66,oligodendrocytes
cell67,oligodendrocytes
cell68,oligodendrocytes
cell69,oligodendrocytes
cell70,oligodendrocytes
cell71,oligodendrocytes
cell72,oligodendrocytes
cell73,oligodendrocytes
cell74,oligodendrocytes
cell75,oligodendrocytes
cell76,oligodendrocytes
cell77,oligodendrocytes
cell78,oligodendrocytes
cell79,oligodendrocytes
cell80,oligodendrocytes
cell81,oligodendrocytes
cell82,oligodendrocytes
cell83,oligodendrocytes
cell84,oligodendrocytes
cell85,oligodendrocytes
cell86,oligodendrocytes
cell87,oligodendrocytes
cell88,oligodendrocytes
cell89,oligodendrocytes
cell90,oligodendrocytes
cell91,oligodendrocytes
cell92,oligodendrocytes
cell93,oligodendrocytes
cell94,oligodendrocytes
cell95,oligodendrocytes
cell96,oligodendrocytes
cell97,oligodendrocytes
cell98,oligodendrocytes
cell99,oligodendrocytes
