"feature"	"coef_AB"	"pval_AB"	"qval_AB"	"metadata"
"s__Abiotrophia_sp_HMSC24B09|t__SGB8236"	NA	1	1	"diagnosis"
"s__Achromobacter_SGB14223|t__SGB14223"	NA	1	1	"diagnosis"
"s__Acidaminococcus_intestini|t__SGB5736"	1.0673377394483	4.94042455353055e-05	0.00142555153649454	"diagnosis"
"s__Acidaminococcus_massiliensis|t__SGB5742"	NA	1	1	"diagnosis"
"s__Acidaminococcus_SGB5735|t__SGB5735"	0.512828448487742	0.0448251281371654	0.424297112367137	"diagnosis"
"s__Acidaminococcus_timonensis|t__SGB5741"	NA	1	1	"diagnosis"
"s__Acinetobacter_SGB14792|t__SGB14792"	NA	1	1	"diagnosis"
"s__Acinetobacter_ursingii|t__SGB10372"	NA	1	1	"diagnosis"
"s__Actinobaculum_sp_oral_taxon_183|t__SGB15892"	NA	1	1	"diagnosis"
"s__Actinomyces_graevenitzii|t__SGB17130_group"	NA	1	1	"diagnosis"
"s__Actinomyces_SGB17154|t__SGB17154"	NA	1	1	"diagnosis"
"s__Actinomyces_SGB17157|t__SGB17157"	NA	1	1	"diagnosis"
"s__Actinomyces_SGB17163|t__SGB17163_group"	NA	1	1	"diagnosis"
"s__Actinomyces_sp_HMSC035G02|t__SGB17158_group"	NA	1	1	"diagnosis"
"s__Actinomyces_sp_ICM47|t__SGB17167_group"	NA	1	1	"diagnosis"
"s__Actinomyces_sp_ph3|t__SGB17137_group"	NA	1	1	"diagnosis"
"s__Actinomyces_urogenitalis|t__SGB15868"	NA	1	1	"diagnosis"
"s__Actinotignum_timonense|t__SGB17174"	NA	1	1	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14797"	NA	1	1	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14798"	NA	1	1	"diagnosis"
"s__Aeromonas_hydrophila|t__SGB9954"	NA	1	1	"diagnosis"
"s__Aeromonas_SGB5123|t__SGB5123"	NA	1	1	"diagnosis"
"s__Agathobaculum_butyriciproducens|t__SGB14993"	0.327397096753307	0.267968423069369	1	"diagnosis"
