"feature"	"coef_DS"	"pval_DS"	"qval_DS"	"metadata"
"s__Phocaeicola_vulgatus|t__SGB1814"	0.335921389561033	0.56843659282386	0.989739802220386	"diagnosis"
"s__Bacteroides_uniformis|t__SGB1836"	0.422936562819018	0.505592218739716	0.989739802220386	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15332"	-1.43476683348661	NA	NA	"diagnosis"
"s__Bacteroides_thetaiotaomicron|t__SGB1861"	0.449088320315371	NA	NA	"diagnosis"
"s__Roseburia_faecis|t__SGB4925"	-0.415309375328498	NA	NA	"diagnosis"
"s__Bacteroides_caccae|t__SGB1877"	-1.76933341293109	NA	NA	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4760"	0.99099436712607	NA	NA	"diagnosis"
"s__Dialister_invisus|t__SGB5825_group"	-0.19293470368643	NA	NA	"diagnosis"
"s__Clostridium_fessum|t__SGB4705"	-0.844972608063898	NA	NA	"diagnosis"
"s__Clostridium_sp_AF36_4|t__SGB4644"	-1.64280733270194	NA	NA	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1855"	0.150873111996854	NA	NA	"diagnosis"
"s__Ruminococcus_bicirculans|t__SGB4262"	-2.70371776509407	NA	NA	"diagnosis"
"s__Fusicatenibacter_saccharivorans|t__SGB4874"	0.474366768220082	0.510003936061094	0.989739802220386	"diagnosis"
"s__Ruminococcus_torques|t__SGB4608"	-1.10528456178324	NA	NA	"diagnosis"
"s__Flavonifractor_plautii|t__SGB15132"	-0.0180510578392953	0.980773640284301	0.991197023889084	"diagnosis"
"s__GGB9480_SGB14874|t__SGB14874"	0.842245225996229	NA	NA	"diagnosis"
"s__Clostridium_sp_AF27_2AA|t__SGB4712"	-1.18574915427048	0.720856255883836	0.989739802220386	"diagnosis"
"s__Enterocloster_bolteae|t__SGB4758"	1.38167374085796	NA	NA	"diagnosis"
"s__Oscillospiraceae_bacterium|t__SGB4184"	0.0536573285219918	0.987136265374267	0.995056294445823	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4269"	-1.42990758784268	NA	NA	"diagnosis"
"s__Clostridium_sp_AT4|t__SGB4753"	1.67291945207984	NA	NA	"diagnosis"
"s__Clostridia_bacterium|t__SGB5191"	0.681092592187708	NA	NA	"diagnosis"
"s__GGB5980_SGB8599|t__SGB8599"	-0.153392716435173	0.95557205257784	0.989739802220386	"diagnosis"
"s__Blautia_massiliensis|t__SGB4826"	-1.57683163690212	NA	NA	"diagnosis"
"s__Dorea_longicatena|t__SGB4582"	-0.32504648150468	NA	NA	"diagnosis"
"s__Ruminococcus_gnavus|t__SGB4584"	0.577866279474745	NA	NA	"diagnosis"
"s__Lawsonibacter_asaccharolyticus|t__SGB15154"	-1.02671688507922	0.200680102050103	0.911448017670282	"diagnosis"
"s__Blautia_caecimuris|t__SGB4862"	0.535193465284924	0.872237247960135	0.989739802220386	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15159"	0.664991483280569	NA	NA	"diagnosis"
"s__Dysosmobacter_welbionis|t__SGB15078"	0.115274862078556	0.870543751711148	0.989739802220386	"diagnosis"
"s__Anaerobutyricum_hallii|t__SGB4532"	-1.62361218482792	NA	NA	"diagnosis"
"s__GGB9531_SGB14932|t__SGB14932"	-1.57617921491767	NA	NA	"diagnosis"
"s__GGB3746_SGB5089|t__SGB5089"	-1.4147070723261	NA	NA	"diagnosis"
"s__Blautia_obeum|t__SGB4809"	-0.0813408311342998	NA	NA	"diagnosis"
"s__GGB9534_SGB14937|t__SGB14937"	-1.98181260333985	0.0217712344139473	0.127244625040879	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15143"	-1.30125855364683	0.0965908910833498	0.463068095487824	"diagnosis"
"s__GGB6518_SGB9205|t__SGB9205"	0.303453419580319	0.927420187780642	0.989739802220386	"diagnosis"
"s__Lacrimispora_saccharolytica|t__SGB4701"	-0.230683912812939	NA	NA	"diagnosis"
"s__Intestinimonas_massiliensis|t__SGB15127"	2.04734415759642	0.0142082975641361	0.0883202225702867	"diagnosis"
