"feature"	"coef_LR"	"pval_LR"	"qval_LR"	"metadata"
"s__Phocaeicola_vulgatus|t__SGB1814"	-0.721179681023408	0.520445635858113	1	"diagnosis"
"s__Bacteroides_uniformis|t__SGB1836"	-0.387937899907001	0.647505577544337	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15332"	-0.792606794616006	0.144342506090571	1	"diagnosis"
"s__Bacteroides_thetaiotaomicron|t__SGB1861"	0.378520697654872	0.52171057538336	1	"diagnosis"
"s__Roseburia_faecis|t__SGB4925"	-0.387810697891057	0.467143543054119	1	"diagnosis"
"s__Bacteroides_caccae|t__SGB1877"	-1.11479372879448	0.0663789896591186	1	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4760"	1.00589733424834	0.161310661796027	1	"diagnosis"
"s__Dialister_invisus|t__SGB5825_group"	-0.165879171594913	0.743797205825092	1	"diagnosis"
"s__Clostridium_fessum|t__SGB4705"	-0.445288022686267	0.413256570064746	1	"diagnosis"
"s__Clostridium_sp_AF36_4|t__SGB4644"	-0.760820069960693	0.130120125416838	1	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1855"	0.155371187630347	0.751828451609673	1	"diagnosis"
"s__Ruminococcus_bicirculans|t__SGB4262"	-1.44419083781373	0.00711737422822958	0.701979329669137	"diagnosis"
"s__Fusicatenibacter_saccharivorans|t__SGB4874"	-0.788041940288003	0.265707658580662	1	"diagnosis"
"s__Ruminococcus_torques|t__SGB4608"	-0.749875433975272	0.166884061762516	1	"diagnosis"
"s__Flavonifractor_plautii|t__SGB15132"	0.430733133604846	0.453878860146273	1	"diagnosis"
"s__GGB9480_SGB14874|t__SGB14874"	0.809177783614711	0.191497105095912	1	"diagnosis"
"s__Clostridium_sp_AF27_2AA|t__SGB4712"	-0.86239263191402	0.103708496662297	1	"diagnosis"
"s__Enterocloster_bolteae|t__SGB4758"	0.551618082944377	0.263228496571539	1	"diagnosis"
"s__Oscillospiraceae_bacterium|t__SGB4184"	0.423271183917021	0.72030090387904	1	"diagnosis"
