"feature"	"coef_CR"	"pval_CR"	"qval_CR"	"metadata"
"s__Clostridium_sp_AM49_4BH.t__SGB4652"	-2.54632971381804	6.16542467016013e-05	0.0344030696594936	"diagnosis"
"s__GGB79973_SGB14341.t__SGB14341"	-1.2652222997364	3.89417631382514e-05	0.0344030696594936	"diagnosis"
"s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767"	-2.63130478774329	0.000248827136705764	0.0925636948545442	"diagnosis"
"s__Sutterella_wadsworthensis.t__SGB9283"	-3.36676786028716	0.000463688462545094	0.0987011673446195	"diagnosis"
"s__Oscillospiraceae_bacterium_Marseille_Q3528.t__SGB4778"	-2.48177643914348	0.000445200859547902	0.0987011673446195	"diagnosis"
"s__Adlercreutzia_equolifaciens.t__SGB14797"	-1.08203624042153	0.000530651437336664	0.0987011673446195	"diagnosis"
"s__Candidatus_Gastranaerophilales_bacterium.t__SGB8601"	-0.785584401406218	0.00163622641916538	0.145094998074526	"diagnosis"
"s__Collinsella_SGB14861.t__SGB14861"	-3.12707352876435	0.00138430969997516	0.145094998074526	"diagnosis"
"s__Christensenellaceae_bacterium_NSJ_63.t__SGB14127"	-1.00577571383438	0.000910199965401284	0.145094998074526	"diagnosis"
"s__GGB58233_SGB79883.t__SGB79883"	-0.648060374707854	0.00169017470875344	0.145094998074526	"diagnosis"
"s__Clostridiaceae_bacterium.t__SGB4770"	-2.20458116696479	0.00182715210620206	0.14565012503725	"diagnosis"
"s__Clostridium_sp_AM33_3.t__SGB4711"	-1.59378303282935	0.00159473233698285	0.145094998074526	"diagnosis"
"s__Lachnospiraceae_bacterium_AM48_27BH.t__SGB4706"	-2.27435173464578	0.00167256598869306	0.145094998074526	"diagnosis"
"s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957"	-0.661665986385772	0.00155519181247019	0.145094998074526	"diagnosis"
"s__Eubacteriaceae_bacterium.t__SGB4546"	-0.65192110185877	0.00202484035753525	0.150648122600623	"diagnosis"
"s__Alistipes_shahii.t__SGB2295"	-3.18288798046369	0.00247325711378882	0.17250968368677	"diagnosis"
"s__GGB3653_SGB4964.t__SGB4964"	-1.92052867025927	0.00444332829758125	0.260987072636878	"diagnosis"
"s__GGB2653_SGB3574.t__SGB3574"	-1.54604006808263	0.00443859812431755	0.260987072636878	"diagnosis"
"s__GGB9614_SGB15049.t__SGB15049"	-1.89035191630623	0.00643225096166829	0.289745778629948	"diagnosis"
"s__Faecalicatena_fissicatena.t__SGB4871"	-2.11287589262136	0.00617625620455043	0.289745778629948	"diagnosis"
"s__Adlercreutzia_equolifaciens.t__SGB14798"	-0.494545622005573	0.00623123329680884	0.289745778629948	"diagnosis"
"s__Streptococcus_SGB14137.t__SGB14137"	-0.803609484038992	0.00589266678410383	0.289745778629948	"diagnosis"
"s__GGB47687_SGB2286.t__SGB2286"	-0.483333589685108	0.00649072084744507	0.289745778629948	"diagnosis"
"s__Clostridiaceae_bacterium_Marseille_Q4145.t__SGB4769"	-1.29453517139366	0.00626204080019991	0.289745778629948	"diagnosis"
"s__GGB3570_SGB4777.t__SGB4777"	-0.73260818895522	0.0030701501419085	0.201546326962935	"diagnosis"
"s__GGB9531_SGB14932.t__SGB14932"	-1.13354072949227	0.00716976067151508	0.296350107755957	"diagnosis"
"s__GGB52130_SGB14966.t__SGB14966"	-0.815162473384981	0.00710161887414682	0.296350107755957	"diagnosis"
"s__Alistipes_putredinis.t__SGB2318"	-3.08373702964688	0.00843165145404383	0.324473207679756	"diagnosis"
"s__Anaerococcus_SGB53821.t__SGB53821"	-1.49582884041725	0.00839722128693144	0.324473207679756	"diagnosis"
"s__Roseburia_sp_BX1005.t__SGB4963"	-0.440997535468066	0.012152460219039	0.443009812065819	"diagnosis"
"s__Gordonibacter_urolithinfaciens.t__SGB14808"	-0.134557071403715	0.0133193435094782	0.443009812065819	"diagnosis"
"s__Prevotella_corporis.t__SGB1504"	-0.434980657998454	0.0124951106953273	0.443009812065819	"diagnosis"
"s__Butyricimonas_faecihominis.t__SGB1786"	-0.932483568492345	0.0137960345765098	0.443009812065819	"diagnosis"
"s__Lachnospiraceae_bacterium.t__SGB4953"	-0.387578704413293	0.014449101300157	0.443009812065819	"diagnosis"
"s__Ruminococcus_bicirculans.t__SGB4262"	-2.28546299550388	0.0146290604733179	0.443009812065819	"diagnosis"
"s__GGB9699_SGB15216.t__SGB15216"	-1.34219791819125	0.0153322955659896	0.443009812065819	"diagnosis"
"s__Candidatus_Avimonas_narfia.t__SGB14941"	-1.08511892391903	0.0154445725327777	0.443009812065819	"diagnosis"
"s__Prevotella_buccalis.t__SGB1517"	-0.0935454233212747	0.0149873347921064	0.443009812065819	"diagnosis"
"s__Clostridiales_bacterium.t__SGB15143"	-1.91467185895722	0.0178237737548166	0.443009812065819	"diagnosis"
"s__Barnesiella_intestinihominis.t__SGB1965"	-2.65257068129247	0.0169285111713719	0.443009812065819	"diagnosis"
"s__Firmicutes_bacterium_AF16_15.t__SGB4993"	-2.31152062988248	0.0189044431184832	0.443009812065819	"diagnosis"
"s__Candidatus_Borkfalkia_ceftriaxoniphila.t__SGB14027"	-1.60162141154929	0.0206834426602276	0.443009812065819	"diagnosis"
"s__Gemmiger_SGB15299.t__SGB15299"	-0.788638921994274	0.0170850857675179	0.443009812065819	"diagnosis"
"s__GGB6610_SGB9344.t__SGB9344"	-0.103421308465925	0.0210695753004704	0.443009812065819	"diagnosis"
"s__GGB51884_SGB49168.t__SGB49168"	-0.109336012159224	0.0221299391880042	0.443009812065819	"diagnosis"
"s__GGB9640_SGB15115.t__SGB15115"	-0.0876500995327069	0.0196246851880935	0.443009812065819	"diagnosis"
"s__GGB3828_SGB5197.t__SGB5197"	-0.0856375024196316	0.0191866265368316	0.443009812065819	"diagnosis"
"s__GGB9060_SGB13977.t__SGB13977"	-0.145021024026837	0.021623550669406	0.443009812065819	"diagnosis"
"s__GGB9529_SGB53518.t__SGB53518"	-0.734917689579627	0.0233106595058584	0.443009812065819	"diagnosis"
"s__GGB9707_SGB15229.t__SGB15229"	-1.07562878889077	0.0242306796893219	0.443009812065819	"diagnosis"
"s__GGB9299_SGB14259.t__SGB14259"	-0.111450567134744	0.0239371458135561	0.443009812065819	"diagnosis"
"s__Oscillospiraceae_bacterium_N12.t__SGB1802"	-0.364604471603495	0.0243726724472216	0.443009812065819	"diagnosis"
"s__GGB3321_SGB4395.t__SGB4395"	-0.398104347864888	0.0247860518940543	0.443009812065819	"diagnosis"
"s__Faecalibacterium_prausnitzii.t__SGB15326"	2.14667218067217	0.0259996695422744	0.443009812065819	"diagnosis"
"s__Lachnospira_sp_NSJ_43.t__SGB5087"	-1.3636652294733	0.0259760029053754	0.443009812065819	"diagnosis"
"s__GGB9760_SGB15374.t__SGB15374"	-0.898375113889132	0.026593972550563	0.443009812065819	"diagnosis"
