"feature"	"coef_ER"	"pval_ER"	"qval_ER"	"metadata"
"s__Oscillospiraceae_unclassified_SGB4196|t__SGB4196"	-17.0939361849246	4.37435112911029e-10	4.03928726103429e-07	"diagnosis"
"s__Corynebacterium_SGB1898|t__SGB1898"	-17.8718780233221	4.51569285750061e-10	4.03928726103429e-07	"diagnosis"
"s__GGB3345_SGB9340|t__SGB9340"	-14.4130927291433	7.20769198270486e-06	0.00367705996302032	"diagnosis"
"s__Bacteroides_caecigallinarum|t__SGB1886"	-12.1119623037243	8.22148678148758e-06	0.00367705996302032	"diagnosis"
"s__Campylobacter_SGB1823|t__SGB1823"	-14.1998749323927	1.44357162995004e-05	0.00516509929196126	"diagnosis"
"s__Coprococcus_eutactus|t__SGB5121"	-10.3037362488497	2.62597348727812e-05	0.0078297776145676	"diagnosis"
"s__Prevotella_copri_clade_C|t__SGB1644"	12.4506670705532	0.000122559051318065	0.0313225918297168	"diagnosis"
"s__Bacteroides_pectinophilus|t__SGB5068"	-13.4179071421267	0.000142118486595712	0.0314218458105254	"diagnosis"
"s__Prevotella_stercorea|t__SGB1679"	13.9093109396242	0.000172152216317209	0.0314218458105254	"diagnosis"
"s__Candidatus_Heritagella_gallinarum|t__SGB63347"	-13.8604776602583	0.000175639160483652	0.0314218458105254	"diagnosis"
"s__GGB4567_SGB6308|t__SGB6308"	-13.2792452005522	0.000219759461384811	0.0335364260541733	"diagnosis"
"s__Bacteroides_fragilis|t__SGB1853"	9.16636882975582	0.000224950873476847	0.0335364260541733	"diagnosis"
"s__Dysgonomonas_mossii|t__SGB1772"	-13.5498504674653	0.000336825175046981	0.0463523260122345	"diagnosis"
"s__GGB4754_SGB6584|t__SGB6584"	14.0135848282405	0.000464464176140778	0.0593518865082751	"diagnosis"
"s__GGB9060_SGB13977|t__SGB13977"	-12.0818503773328	0.000640863467690353	0.0764336495798695	"diagnosis"
"s__Bacteroides_ndongoniae|t__SGB1821"	9.30690357312754	0.000769580729328485	0.0860487452980412	"diagnosis"
"s__Eubacteriaceae_bacterium|t__SGB4546"	-12.0674652982325	0.00114117255725726	0.120091629701955	"diagnosis"
"s__Candidatus_Gastranaerophilales_bacterium|t__SGB8601"	-11.2822445059694	0.00132244608929095	0.127619184788671	"diagnosis"
"s__GGB4706_SGB6513|t__SGB6513"	-11.6970022417589	0.0013916307142147	0.127619184788671	"diagnosis"
"s__GGB1095_SGB1407|t__SGB1407"	-11.6283237450523	0.00142670972374143	0.127619184788671	"diagnosis"
"s__GGB1102_SGB1416|t__SGB1416"	12.9653489807236	0.00155419069475202	0.132402245376732	"diagnosis"
"s__Prevotella_copri_clade_E|t__SGB1617"	11.0623950704879	0.00188525941328222	0.141275494389049	"diagnosis"
"s__GGB27377_SGB13972|t__SGB13972"	7.66136429788217	0.0019503621752131	0.141275494389049	"diagnosis"
"s__GGB4580_SGB6330|t__SGB6330"	-10.7468103883835	0.0019749330762366	0.141275494389049	"diagnosis"
"s__Phocaeicola_plebeius|t__SGB1899"	-6.84306553671607	0.00213091413335018	0.141275494389049	"diagnosis"
"s__GGB4541_SGB6262|t__SGB6262"	-10.5028846353072	0.00215631542962892	0.141275494389049	"diagnosis"
"s__GGB3146_SGB4159|t__SGB4159"	-10.4475244213747	0.00219988313106835	0.141275494389049	"diagnosis"
"s__GGB4698_SGB6498|t__SGB6498"	-10.3617094772167	0.00226933336378696	0.141275494389049	"diagnosis"
"s__GGB3680_SGB4994|t__SGB4994"	1.44130243097816	0.00239821756166276	0.141275494389049	"diagnosis"
"s__GGB4727_SGB6548|t__SGB6548"	2.22210038575352	0.0024050748527259	0.141275494389049	"diagnosis"
"s__Clostridiaceae_unclassified_SGB15090|t__SGB15090"	-11.0158444839682	0.00244803819232001	0.141275494389049	"diagnosis"
"s__GGB53985_SGB6367|t__SGB6367"	-9.95845774188705	0.00262852446280604	0.146634824567949	"diagnosis"
"s__GGB4559_SGB6293|t__SGB6293"	-9.73002677956934	0.00285922264991142	0.146634824567949	"diagnosis"
"s__GGB9200_SGB14139|t__SGB14139"	-9.67751688450853	0.00291539338760844	0.146634824567949	"diagnosis"
"s__GGB6513_SGB9199|t__SGB9199"	-9.65130539150921	0.00294389884337157	0.146634824567949	"diagnosis"
"s__Adlercreutzia_equolifaciens|t__SGB14797"	-9.66665878677726	0.00295072872244057	0.146634824567949	"diagnosis"
"s__Dysgonomonas_gadei|t__SGB1774"	-12.7264087742003	0.00303668289185903	0.146827721446914	"diagnosis"
"s__GGB79845_SGB14005|t__SGB14005"	-9.46557881299695	0.00315521444904191	0.148544174982526	"diagnosis"
"s__GGB4700_SGB6506|t__SGB6506"	-9.20844445307356	0.0034770816370735	0.156569624288011	"diagnosis"
"s__GGB4682_SGB6472|t__SGB6472"	-9.14357101158162	0.0035643123709783	0.156569624288011	"diagnosis"
"s__Oscillospiraceae_bacterium_N12|t__SGB1802"	-8.60724573236865	0.00358823621900977	0.156569624288011	"diagnosis"
"s__Streptococcus_SGB14137|t__SGB14137"	-8.6739653269364	0.00373300407043052	0.157747533192611	"diagnosis"
"s__Veillonella_seminalis|t__SGB6923"	1.75002713443961	0.00379158408456249	0.157747533192611	"diagnosis"
"s__GGB4651_SGB6438|t__SGB6438"	-8.80620261124951	0.00406184026418235	0.165150732559596	"diagnosis"
"s__GGB51884_SGB49168|t__SGB49168"	-9.06914177892373	0.00428809948988136	0.170475777497728	"diagnosis"
"s__Oscillospiraceae_bacterium|t__SGB4247"	-12.6260516683581	0.00455276940787087	0.177063140666978	"diagnosis"
"s__Achromobacter_SGB14223|t__SGB14223"	-12.6148474677447	0.00465791584172287	0.1772981157626	"diagnosis"
"s__GGB9189_SGB14128|t__SGB14128"	-8.43965377781208	0.00484579275506913	0.180606734142056	"diagnosis"
"s__GGB4717_SGB6533|t__SGB6533"	-8.3029713977096	0.00496708195975503	0.181349176040852	"diagnosis"
"s__GGB3005_SGB3996|t__SGB3996"	-9.61985741814108	0.00542829770256062	0.194224491797619	"diagnosis"
"s__GGB9059_SGB13976|t__SGB13976"	7.43581029732196	0.00591064056522066	0.20633749292319	"diagnosis"
"s__GGB33665_SGB47358|t__SGB47358"	-7.84509053125167	0.00599751237116037	0.20633749292319	"diagnosis"
"s__GGB4653_SGB6440|t__SGB6440"	-7.67187600120489	0.00644299106987952	0.217481340075745	"diagnosis"
"s__GGB9529_SGB53518|t__SGB53518"	-11.430190346429	0.00704244378631617	0.233313554328141	"diagnosis"
"s__Pseudoflavonifractor_capillosus|t__SGB15161"	-13.6122097280171	0.00718628662067452	0.233750304807031	"diagnosis"
